queried_on,source_endpoint,queried_eppo_code,service,eppocode,prefname,class_id,class_label,bibref,eppo_code,scientific_name,queried_host_eppo_code,relationship_to_query_taxon,taxonomic_group,source_pathogen_code_column,source_pathogen_name_column,biological_text_for_classification,taxonomic_group_clean,biological_class,excluded_group_screening
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,AFCVD0,Apple fruit crinkle viroid,10,Experimental,"* Hataya T (2024) Genetic diversity of apple fruit crinkle viroid populations in Japanese persimmons and the infectivity of a predominant sequence variant to tomato plants. European Journal of Plant Pathology 169(2), 273-285.

* Suzuki T, Fujibayashi M, Hataya T, Taneda A, He YH, Tsushima T, Duraisamy GS, Siglova K, Matousek J, Sano T (2017) Characterization of host-dependent mutations of apple fruit crinkle viroid replicating in newly identified experimental hosts suggests maintenance of stem-loop structures in the left-hand half of the molecule is important for replication. Journal of General Virology 98(3), 506-516.",AFCVD0,Apple fruit crinkle viroid,LYPES,Experimental,,eppocode,prefname,apple fruit crinkle viroid,,viroid,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,AMV000,Alfamovirus AMV,9,Host,,AMV000,Alfamovirus AMV,LYPES,Host,,eppocode,prefname,alfamovirus amv,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,APLV00,Tymovirus latandigenum,10,Experimental,"* García W, Gandarillas A (1992) Incidencia virotica en campos de tubérculo-semilla de papa en certificación y campos comerciales [Virus incidence in potato tuber-seed fields in certification and commercial fields]. Revista de Agricultura. Facultad de Ciencias Agrícolas y Pecuarias, Universidad Mayor de San Simón. Cochabamba, Bolivia 21, 29–33.
------- As Lycopersicum esculentum cv. Kondine Red.",APLV00,Tymovirus latandigenum,LYPES,Experimental,,eppocode,prefname,tymovirus latandigenum,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,APMOV0,Comovirus andesense,10,Experimental,"* Fribourg CE, Jones RAC, Koenig R (1977) Andean potato mottle, a new member of the Cowpea mosaic virus group. Phytopathology 67, 969-974.
------- As Lycopersicon esculentum. Lm (type train) tested. Symptomless systemic infection or mild mosaic depending on cultivar.",APMOV0,Comovirus andesense,LYPES,Experimental,,eppocode,prefname,comovirus andesense,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,BCTV00,Curtovirus betae,9,Host,"* Chen L, Brannigan K, Clark R, Gilbertson RL (2010) Characterization of curtoviruses associated with curly top disease of tomato in California and monitoring for these viruses in beet leafhoppers. Plant Disease 94, 99-108.

* Severin HHP (1929) Additional host plnats of curly top. Hilgardia 20(3), 595-637.",BCTV00,Curtovirus betae,LYPES,Host,,eppocode,prefname,curtovirus betae,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CBCVD0,Cocadviroid rimocitri,10,Experimental,"* Semancik JS, Vidalakis G (2005) The question of Citrus viroid IV as a Cocadviroid. Archives of Virology 150(6), 1059-1067.",CBCVD0,Cocadviroid rimocitri,LYPES,Experimental,,eppocode,prefname,cocadviroid rimocitri,,viroid,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CDV000,Potyvirus trompetae,9,Host,"* Tomitaka Y, Usugi T (2014) First report of mosaic disease caused by Colombian datura virus on Solanum lycopersicum plants commercially cultivated in Japan. Plant Disease 98(5), p 698.

* Verhoeven, JTJ, Lesemann DE, Roenhorst JW (1996) First report of Colombian datura potyvirus in tomato. European Journal of Plant Pathology 102, 895-898.",CDV000,Potyvirus trompetae,LYPES,Host,,eppocode,prefname,potyvirus trompetae,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CHILCU,Begomovirus chillicapsici,1,Major host,"* Brown JK, Zerbini FM, Navas-Castillo J, Moriones E, Ramos-Sobrinho R, Silva JCF, Fiallo-Olive E, Briddon RW, Hernández-Zepeda C, Idris A, Malathi VG, Martin DP, Rivera-Bustamante R, Ueda S, Varsani A (2015) Revision of Begomovirus taxonomy based on pairwise sequence comparisons. Archives of Virology 160, 1593-1619. https://doi.org/10.1007/s00705-015-2398-y
------- based on isolate considered as chilli leaf curl virus

* Sangeeta, Kumar RV, Yadav BK, Bhatt BS, Krishna R, Krishnan N, Karkute SG, Kumar S, Singh B, Singh AK (2023) Diverse begomovirus-betasatellite complexes cause tomato leaf curl disease in the western India. Virus Research 328, 199079. doi: 10.1016/j.virusres.2023.199079.
------- several isolates found on tomato

* Venkataravanappa V, Swarnalatha P, Reddy CNL, Chauhan N, Krishna Reddy M (2016) Association of recombinant Chilli leaf curl virus with enation leaf curl disease of tomato: a new host for chilli begomovirus in India. Phytoparasitica 44, 213-223.",CHILCU,Begomovirus chillicapsici,LYPES,Major host,,eppocode,prefname,begomovirus chillicapsici,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CLCUGV,Begomovirus gossypigeziraense,9,Host,"* Al Shihi AA, Al Sadi AM, Deadman M, Briddon RW, Shahid MS (2018) Identification of a distinct strain of Cotton leaf curl Gezira virus infecting tomato in Oman. Journal of Phytopathology. 166(3), 199-205.",CLCUGV,Begomovirus gossypigeziraense,LYPES,Host,,eppocode,prefname,begomovirus gossypigeziraense,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CLVD00,Pospiviroid latenscolumneae,1,Major host,"* Bhuvitarkorn S, Klinkong S and Reanwarakorn K (2019) Enhancing Columnea latent viroid detection using reverse transcription loop-mediated isothermal amplification (RT-LAMP). International Journal of Agricultural Technology 15(2): 215-228
------- confirmed host",CLVD00,Pospiviroid latenscolumneae,LYPES,Major host,,eppocode,prefname,pospiviroid latenscolumneae,,viroid,not_detected
