eppo_code,iso3,country,distribution_status,presence_weight,scientific_name,taxonomic_group,biological_class,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log,n_hosts_total,n_tomato_host_records,host_breadth_score,n_countries_present,geo_breadth_score,regulatory_weight,iefp_t_production,iefp_t_area,iefp_t_integrated,iefp_t_integrated_log_sensitivity,is_present_positive,index_interpretation_note
XANTAV,CHN,CN,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,China,Tomatoes,2190435.4,123061709.666,56183.79,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,COL,CO,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Colombia,Tomatoes,17423.2,871160.9820000001,50064.9,0.014147569348748341,0.01588046086805141,0.015014015108399876,0.7625858553861421,0.7021467925491826,0.7323663239676623,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,COM,KM,A,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Comoros,Tomatoes,1263.2,11277.602,8928.4,0.0001831471561275491,0.0011513498191217768,0.0006672484876246629,0.5202257735188016,0.5135231111863399,0.5168744423525707,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,2.134451307381116e-07,1.3418172461089222e-06,7.776311884235169e-07,0.0006023808136354563,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,CRI,CR,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Costa Rica,Tomatoes,1091.2,57130.02,52380.14,0.0009277859506400387,0.000994579577759407,0.0009611827641997228,0.6106839866736069,0.5030080739283037,0.5568460303009553,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,CUB,CU,B,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Cuba,Tomatoes,32296.4,249144.22000000003,8147.219999999999,0.004046077823868624,0.029436711762416523,0.016741394793142572,0.6927929063842435,0.7465181413663884,0.719655523875316,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,4.715419165399244e-06,3.430641743764424e-05,1.951091830152174e-05,0.0008387079036760721,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,CZE,CZ,B,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Czechia,Tomatoes,166.0,13864.0,117689.76000000001,0.00022515000729342465,0.00015130151201251974,0.00018822575965297218,0.5317368541427571,0.3679832576465802,0.4498600558946686,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,2.623964999432662e-07,1.7633127205041252e-07,2.1936388599683934e-07,0.0005242802589706621,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,DEU,DE,D,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Germany,Tomatoes,384.0,103032.0,268438.32,0.0016732296271967778,0.00034999867839040713,0.0010116141527935925,0.6435624910410441,0.4280376170833129,0.5358000540621786,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,1.9500314614941286e-06,4.0789884618890607e-07,1.1789651538415175e-06,0.0006244372831491991,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,DMA,DM,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Dominica,Tomatoes,35.2,426.742,12081.380000000001,6.930248442903248e-06,3.208321218578732e-05,1.9506730314345287e-05,0.3377893408149212,0.2580530017894281,0.29792117130217466,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,DOM,DO,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Dominican Republic,Tomatoes,6068.8,256994.958,42372.82,0.0041735730429943284,0.005531437446395059,0.004852505244694693,0.6945226551157938,0.6263258724841366,0.6604242637999652,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,EGY,EG,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Egypt,Tomatoes,161718.6,6777502.452,41887.12,0.11006597854147457,0.14739920903944503,0.12873259379045981,0.8769680844907091,0.862340058326308,0.8696540714085086,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,ESP,ES,C,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Spain,Tomatoes,52460.0,4252392.0,81009.1,0.0690584311753102,0.04781492361552281,0.058436677395416504,0.8509794432998451,0.781395583829304,0.8161875135645745,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,8.048274503655118e-05,5.572493091424483e-05,6.8103837975398e-05,0.0009512091490969096,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,ETH,ET,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Ethiopia,Tomatoes,12624.2,105313.66,8437.1,0.0017102835629758545,0.011506388843062963,0.006608336203019409,0.6447836973513655,0.6789831439756443,0.6618834206635049,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,FJI,FJ,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Fiji,Tomatoes,231.6,2325.482,10040.0,3.776560078337621e-05,0.0002110929529042143,0.00012442927684379524,0.4322146154649103,0.391805595591149,0.41201010552802964,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,FSM,FM,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,,,,,,,,,,,,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,GBR,GB,D,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,United Kingdom of Great Britain and Northern Ireland,Tomatoes,196.4,70326.016,358242.4,0.0011420876381504255,0.000179009740718427,0.0006605486894344263,0.6222702475425077,0.38000767620959874,0.5011389618760532,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,1.3310228255448742e-06,2.086232640403676e-07,7.69823044792621e-07,0.0005840422177295598,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,GLP,GP,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,,,,,,,,,,,,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,GRC,GR,A,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Greece,Tomatoes,11810.0,821918.0,71194.24,0.013347868125692225,0.010764282270288302,0.012056075197990263,0.7593417235543123,0.674190043655592,0.7167658836049522,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,1.5556001618607143e-05,1.2545013993466094e-05,1.4050507806036618e-05,0.000835340231153413,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,GRD,GD,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Grenada,Tomatoes,96.8,723.0,7464.160000000001,1.1741449457093625e-05,8.822883351091512e-05,4.998514148400437e-05,0.36713129059724703,0.32951183163148245,0.34832156111436474,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
