iso3,country_faostat,eppo_code,scientific_name,biological_class,distribution_status,presence_weight,regulatory_weight,production_tonnes,harvested_area_ha,host_breadth_score,geo_breadth_score,tomato_importance_score,tomato_importance_score_log,iefp_t_integrated,iefp_t_integrated_log_sensitivity,exposure_class_integrated,exposure_class_log_sensitivity
CHN,China,MELGGC,Meloidogyne graminicola,nematode,B | X,1.0,1.0,123061709.666,2190435.4,0.1616266944734098,0.11764705882352941,1.0,1.0,0.019014905232165858,0.019014905232165858,alta,alta
NGA,Nigeria,MELGMY,Meloidogyne enterolobii,nematode,B,1.0,1.0,3607373.3439999996,910056.4,0.1710114702815433,0.25,0.4440293742929905,0.9141826086043019,0.018983529036509503,0.03908392800080957,alta,alta
IND,India,LIBEAS,'Candidatus Liberibacter asiaticus',bacteria,A | X,1.0,1.0,20834644.6,841798.6,0.04692387904066736,0.6323529411764706,0.5528070236103583,0.9602662634909727,0.016403140383457696,0.02849345549676489,alta,alta
TUN,Tunisia,TSWV00,Orthotospovirus tomatomaculae,virus,B,1.0,1.0,1347012.7859999998,22036.6,1.0,0.7647058823529411,0.0209803615410665,0.7529599870782407,0.01604380588434497,0.5757929312951252,alta,alta
IND,India,PSTVD0,Pospiviroid fusituberis,viroid,C | X,1.0,1.0,20834644.6,841798.6,0.07090719499478623,0.39705882352941174,0.5528070236103583,0.9602662634909727,0.015563909945234277,0.027035650796930405,alta,alta
CHN,China,VERTDA,Verticillium dahliae,fungus,B | X,1.0,1.0,123061709.666,2190435.4,0.07507820646506778,0.20588235294117646,1.0,1.0,0.015457277801631602,0.015457277801631602,alta,alta
UKR,Ukraine,DITYDI,Ditylenchus dipsaci,nematode,B,1.0,1.0,1821342.0,63860.0,0.47236704900938475,0.7352941176470589,0.04389196287620602,0.7996193628072672,0.015244938955193313,0.27773076377943634,alta,alta
ITA,Italy,RALSSO,Ralstonia solanacearum species complex,bacteria,C,1.0,1.0,6213584.0,100250.0,0.18248175182481752,0.8676470588235294,0.09614067539471903,0.850041558885175,0.015221929605754678,0.13458687197892155,alta,alta
IND,India,CORBMI,Clavibacter michiganensis,bacteria,B | X,1.0,1.0,20834644.6,841798.6,0.047966631908237745,0.5735294117647058,0.5528070236103583,0.9602662634909727,0.015207872789624342,0.026417188197000625,alta,alta
KEN,Kenya,TSWV00,Orthotospovirus tomatomaculae,virus,B,1.0,1.0,689141.264,30375.0,1.0,0.7647058823529411,0.019438514610828572,0.7458131800213421,0.0148647464671042,0.5703277258986733,alta,alta
