iso3,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log
JOR,Jordan,Tomatoes,8336.8,610163.782,73342.62,0.009909000286171636,0.0075986171406384004,0.008753808713405017,0.7427317654896461,0.6491522033164502,0.6959419844030481
JPN,Japan,Tomatoes,11100.0,696620.0,62754.48,0.011313040830982796,0.010117149297222705,0.010715095064102752,0.7501199215366877,0.6697325296401049,0.7099262255883962
KAZ,Kazakhstan,Tomatoes,28631.4,763397.3859999999,26703.98,0.01239749906417205,0.026096229584549747,0.019246864324360898,0.7552235996617368,0.7378579571250077,0.7465407783933722
KEN,Kenya,Tomatoes,30375.0,689141.264,22377.879999999997,0.01119158688804096,0.027685442333616188,0.019438514610828572,0.7495181207504299,0.7421082392922543,0.7458131800213421
KGZ,Kyrgyzstan,Tomatoes,11825.2,254911.5,21546.8,0.004139737888356738,0.010778136384641257,0.0074589371364989976,0.6940688136026895,0.6742825147328101,0.6841756641677498
KNA,Saint Kitts and Nevis,Tomatoes,11.4,133.71800000000002,12054.0,2.1715672731724007e-06,1.0390585764715211e-05,6.281076518943806e-06,0.27337421253042743,0.18102213166201744,0.22719817209622245
KOR,Republic of Korea,Tomatoes,5630.2,350035.234,62194.94,0.005684538047320803,0.005131673330921016,0.0054081056891209095,0.7117494535851034,0.6209331574389151,0.6663413055120093
KWT,Kuwait,Tomatoes,565.2,66974.396,122458.1,0.0010876576563670448,0.0005151543047558806,0.0008014059805614627,0.6195477200999965,0.4557696999533345,0.5376587100266654
LBN,Lebanon,Tomatoes,5398.2,222778.4,41388.56,0.0036178994795742552,0.004920215796060145,0.0042690576378172,0.6865565562200431,0.6179082013468942,0.6522323787834686
LBR,Liberia,Tomatoes,269.8,3559.9,13199.12,5.781242866155961e-05,0.0002459105297649267,0.00015186147921324316,0.4559468268227763,0.4027387164495321,0.4293427716361542
LBY,Libya,Tomatoes,10651.2,222882.604,20925.52,0.0036195917423671,0.009708088341853919,0.006663840042110509,0.6865826289910607,0.6667653104718801,0.6766739697314704
LCA,Saint Lucia,Tomatoes,12.2,244.51399999999998,20135.260000000002,3.970883502837885e-06,1.1119749678028558e-05,7.545316590433222e-06,0.30683636367303396,0.18551733925203104,0.2461768514625325
LKA,Sri Lanka,Tomatoes,5953.0,84581.76,14209.460000000001,0.0013735995297814983,0.005425890969942952,0.0033997452498622256,0.6325610903707314,0.6249409082993113,0.6287509993350213
LTU,Lithuania,Tomatoes,618.0,11984.0,18959.68,0.00019461899072449517,0.0005632791230345615,0.00037894905687952833,0.5236127751694815,0.46218014429772436,0.4928964597336029
LUX,Luxembourg,Tomatoes,0.0,104.0,,1.6889498527492907e-06,0.0,8.444749263746453e-07,0.25947890645670163,0.0,0.12973945322835082
LVA,Latvia,Tomatoes,,5704.0,,9.263240346232647e-05,,9.263240346232647e-05,0.4822255434258713,,0.4822255434258713
MAR,Morocco,Tomatoes,15120.2,1445713.48,95478.73999999999,0.023478245857342928,0.01378138025260061,0.01862981305497177,0.7908272023428675,0.691954096105395,0.7413906492241313
MDA,Republic of Moldova,Tomatoes,5565.4,34950.6,6207.26,0.0005675943338798015,0.0050726110539426345,0.002820102693911218,0.583287208763822,0.6201009852391652,0.6016940970014937
MDG,Madagascar,Tomatoes,4917.6,40901.966,8317.16,0.000664243937046697,0.004482170575137151,0.0025732072560919242,0.5920539423037081,0.6112051993699742,0.6016295708368411
MDV,Maldives,Tomatoes,14.2,233.42600000000002,16127.939999999999,3.790815464690922e-06,1.294265946131193e-05,8.366737463001426e-06,0.3042597285000673,0.19566087675415605,0.24996030262711166
MEX,Mexico,Tomatoes,88381.8,4263483.324,48260.6,0.06923855319489285,0.0805560239420971,0.07489728856849498,0.851124675734142,0.8188991011756829,0.8350118884549125
