queried_on,source_endpoint,queried_eppo_code,service,continent_id,continent_name,country_iso,country_name,qlist,qlist_label,year_add,year_delete,year_transient,empty_response,eppo_code,regulated_status,regulatory_code,source_regulatory_column,regulated_status_clean,regulatory_weight_raw
2026-05-06T14:11:02.212654,/taxons/taxon/CBCVD0/categorization,CBCVD0,categorization,6.0,RPPO/EU,9A,EPPO,2,A2 list,2017.0,,,,CBCVD0,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:02.212654,/taxons/taxon/CBCVD0/categorization,CBCVD0,categorization,6.0,RPPO/EU,9L,EU,Q,RNQP ((EU) 2019/2072 Annex IV),2021.0,,,,CBCVD0,RNQP ((EU) 2019/2072 Annex IV),Q,qlist_label,rnqp ((eu) 2019/2072 annex iv),0.85
2026-05-06T14:11:02.583196,/taxons/taxon/CDV000/categorization,CDV000,categorization,4.0,America,US,United States of America,X,Quarantine pest,1989.0,,,,CDV000,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:04.428323,/taxons/taxon/CHILCU/categorization,CHILCU,categorization,1.0,Europe,CH,Switzerland,1,A1 list,2022.0,,,,CHILCU,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:04.428323,/taxons/taxon/CHILCU/categorization,CHILCU,categorization,6.0,RPPO/EU,9L,EU,N,Quarantine pest ((EU) 2019/2072 Annex II A),2021.0,,,,CHILCU,Quarantine pest ((EU) 2019/2072 Annex II A),N,qlist_label,quarantine pest ((eu) 2019/2072 annex ii a),1.0
2026-05-06T14:11:05.539647,/taxons/taxon/CLCUGV/categorization,CLCUGV,categorization,4.0,America,US,United States of America,1,A1 list,2004.0,,,,CLCUGV,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:05.539647,/taxons/taxon/CLCUGV/categorization,CLCUGV,categorization,2.0,Asia,CN,China,X,Quarantine pest,2021.0,,,,CLCUGV,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:05.906637,/taxons/taxon/CLVD00/categorization,CLVD00,categorization,2.0,Asia,CN,China,X,Quarantine pest,2024.0,,,,CLVD00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:05.906637,/taxons/taxon/CLVD00/categorization,CLVD00,categorization,1.0,Europe,GB,United Kingdom,1,A1 list,2023.0,,,,CLVD00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:06.275997,/taxons/taxon/COLLAC/categorization,COLLAC,categorization,3.0,Africa,TN,Tunisia,X,Quarantine pest,2012.0,,,,COLLAC,Quarantine pest,X,qlist_label,quarantine pest,1.0
